gen	env	amylase	diapow	hddate	lodging	malt	height	protein	yield
SM70	MA92	NA	NA	196	40	NA	81	NA	7.141
SM70	SKo92	NA	NA	187	90	NA	105	NA	6.7577
SM70	SKg92	NA	NA	187	NA	NA	45	NA	3.6673
SM70	SKk92	NA	NA	194	NA	NA	69	NA	5.2322
SM70	ID92	25.7	94	187	NA	72.9	81.3	13.1	5.927
SM71	MN92	21.4	49	149	NA	73.2	90.5	12	5.744
SM71	MTi92	20.9	63	172	80	75.4	96	11.8	6.539
SM71	MTd92	24	59	164.5	5	77.1	85	13.4	5.979
SM71	ID91	19.1	54	179	NA	72.8	116.8	12.5	7.784
SM71	OR91	27.9	88	193	NA	73	90	14.8	4.926
SM71	WA91	21.3	45	179	NA	73.9	123	10.4	5.438
SM71	MTi91	29.6	61	182	NA	74	96	10.8	5.966
SM71	MTd91	NA	NA	184	NA	NA	95	NA	3.481
SM71	NY92	NA	NA	176.5	10	NA	75	NA	5.266
SM71	ON92	NA	NA	200	70	NA	90	NA	2.53
SM71	WA92	21.1	41	156	NA	71.9	67.5	10.7	3.973
SM71	MA92	NA	NA	193.5	45	NA	83	NA	6.715
SM71	SKo92	NA	NA	186	70	NA	104	NA	6.8976
SM71	SKg92	NA	NA	187	NA	NA	42	NA	3.9242
SM71	SKk92	NA	NA	193	NA	NA	71	NA	4.8368
SM71	ID92	21.8	77	187	NA	71.7	88.9	13.6	6.193
SM72	MN92	39.1	94	147.5	NA	78.6	71	10.4	4.16
SM72	MTi92	28.7	89	169.5	0	77.1	103	13.3	5.588
SM72	MTd92	24.8	64	161.5	5	75.5	77	14.3	5.454
SM72	ID91	21.3	82	174	NA	75.3	106.7	13.4	9.168
SM72	OR91	19.8	64	189	NA	72.8	105	13.7	7.648
SM72	WA91	21.6	58	176	NA	73.6	128	13.6	6.844
SM72	MTi91	40.5	95	178	NA	75.3	103	13	6.627
SM72	MTd91	NA	NA	178	NA	NA	95	NA	4.066
SM72	NY92	NA	NA	173	0	NA	80	NA	4.457
SM72	ON92	NA	NA	200	70	NA	95	NA	3.69
SM72	WA92	23.7	56	152	NA	71.9	65	12.3	3.356
SM72	MA92	NA	NA	189	30	NA	84.5	NA	6.819
SM72	SKo92	NA	NA	184	20	NA	104	NA	7.8498
SM72	SKg92	NA	NA	185	NA	NA	46	NA	2.8662
SM72	SKk92	NA	NA	192	NA	NA	76	NA	4.4346
SM72	ID92	27.7	106	185	NA	73.9	86.4	13.6	6.156
SM73	MN92	26.4	62	148.5	NA	76.2	81	11.2	4.489
SM73	MTi92	29.3	79	170	0	78.8	91	11.8	7.03
SM73	MTd92	29.3	82	163	20	75.8	72.5	13.8	6.173
SM73	ID91	25.9	64	177	NA	76.3	99.1	12.4	9.445
SM73	OR91	22.7	53	189	NA	74.2	95	12	7.693
SM73	WA91	27.9	64	178	NA	75.3	108	12	6.237
SM73	MTi91	34.5	69	180	NA	75.5	91	11.7	6.561
SM73	MTd91	NA	NA	183	NA	NA	85	NA	3.528
SM73	NY92	NA	NA	175	5	NA	80	NA	6.453
SM73	ON92	NA	NA	198	0	NA	90	NA	3.98
SM73	WA92	26.1	55	157	NA	73.2	53	11.9	3
SM73	MA92	NA	NA	189.5	35	NA	69.5	NA	5.612
SM73	SKo92	NA	NA	186	20	NA	100	NA	8.1945
SM73	SKg92	NA	NA	187	NA	NA	41	NA	3.5963
SM73	SKk92	NA	NA	191	NA	NA	59	NA	4.8452
SM73	ID92	28.2	92	186	NA	73.9	83.8	13.4	5.268
SM74	MN92	26	59	155.5	NA	76.6	88	12.3	6.057
SM74	MTi92	31	83	172	0	79.8	97	11.8	6.566
SM74	MTd92	29.9	87	165.5	35	75.1	84	14	5.236
SM74	ID91	28.1	79	180.5	NA	76.2	101.6	13.3	7.516
SM74	OR91	26.2	84	190	NA	75.1	92.5	13.7	5.153
SM74	WA91	34.4	72	180	NA	76.6	119	13	6.231
SM74	MTi91	37.1	70	183	NA	76.5	97	11.7	5.744
SM74	MTd91	NA	NA	183	NA	NA	89	NA	2.751
SM74	NY92	NA	NA	175	5	NA	77.5	NA	6.57
SM74	ON92	NA	NA	198	0	NA	95	NA	3.38
SM74	WA92	31.2	65	157	NA	74.9	67.5	12.4	3.419
SM74	MA92	NA	NA	199	40	NA	87.5	NA	7.087
SM74	SKo92	NA	NA	188	70	NA	114	NA	6.1024
SM74	SKg92	NA	NA	189	NA	NA	46	NA	3.6318
SM74	SKk92	NA	NA	196	NA	NA	75	NA	5.1477
SM74	ID92	24.7	88	188	NA	74.2	86.4	14.4	5.105
SM75	MN92	22.1	86	154.5	NA	73.7	95	12.6	5.616
SM75	MTi92	20.1	88	174.5	75	74.5	107	12.7	5.579
SM75	MTd92	23.8	90	167	55	75	93	12.7	5.806
SM75	ID91	21.3	85	181	NA	73.8	109.2	12.8	7.784
SM75	OR91	18.7	97	191	NA	73.3	95	12.4	5.988
SM75	WA91	23.6	98	182	NA	72.7	138	13.2	4.375
SM75	MTi91	28.5	105	183	NA	72.8	107	11.8	4.795
SM75	MTd91	NA	NA	184	NA	NA	90	NA	2.66
SM75	NY92	NA	NA	178	30	NA	90	NA	5.664
SM75	ON92	NA	NA	200	80	NA	90	NA	2.22
SM75	WA92	21.1	81	156	NA	72.4	72.5	11.5	4.161
SM75	MA92	NA	NA	195	45	NA	93	NA	6.924
SM75	SKo92	NA	NA	189	90	NA	118	NA	8.2491
SM75	SKg92	NA	NA	188	NA	NA	60	NA	4.0205
SM75	SKk92	NA	NA	196	NA	NA	80	NA	5.4131
SM75	ID92	22.2	119	190	NA	73.2	86.4	13.1	4.813
SM76	MN92	27.5	61	159	NA	77.9	109	9.8	5.273
SM76	MTi92	33.2	112	177.5	10	79.3	111	11.1	6.208
SM76	MTd92	32.6	121	172	55	74.5	88.5	14.6	4.745
SM76	ID91	31.5	100	186	NA	75.1	119.4	13.1	7.749
SM76	OR91	29.7	120	191	NA	74.1	95	14.1	6.178
SM76	WA91	29	78	185	NA	75.4	123	11	7.883
SM76	MTi91	47.1	111	188	NA	75.5	111	11.4	5.579
SM76	MTd91	NA	NA	187	NA	NA	95	NA	3.599
SM76	NY92	NA	NA	182	0	NA	87.5	NA	5.725
SM76	ON92	NA	NA	202	60	NA	95	NA	3.85
SM76	WA92	30.6	86	160	NA	74.2	71	11.7	3.494
SM76	MA92	NA	NA	202.5	60	NA	101	NA	8.096
SM76	SKo92	NA	NA	195	20	NA	111	NA	8.9556
SM76	SKg92	NA	NA	194	NA	NA	66	NA	4.2926
SM76	SKk92	NA	NA	203	NA	NA	90	NA	5.3387
SM76	ID92	27.5	131	193	NA	73.5	94	14	4.715
SM77	MN92	23.1	81	159.5	NA	76.7	107.5	11.6	5.573
SM77	MTi92	30.5	105	175	85	79.2	114	11.4	5.766
SM77	MTd92	27.7	111	170.5	40	75.2	98	13.7	6.016
SM77	ID91	26.5	89	182.5	NA	75.4	127	13.7	7.991
SM77	OR91	24.9	116	191	NA	76	110	13.8	7.544
SM77	WA91	27.3	83	182	NA	77.1	138	11.2	5.688
SM77	MTi91	33.4	102	187	NA	73.6	114	12	5.202
SM77	MTd91	NA	NA	186	NA	NA	93	NA	2.505
SM77	NY92	NA	NA	182	0	NA	102.5	NA	5.336
SM77	ON92	NA	NA	202	0	NA	115	NA	3.26
SM77	WA92	27.8	71	160	NA	75	79	11.4	4.363
SM77	MA92	NA	NA	199.5	45	NA	106.5	NA	7.841
SM77	SKo92	NA	NA	190	60	NA	128	NA	6.9079
SM77	SKg92	NA	NA	192	NA	NA	44	NA	3.7062
SM77	SKk92	NA	NA	198	NA	NA	94	NA	5.9454
SM77	ID92	24.6	116	195	NA	73.5	88.9	14.6	4.493
SM78	MN92	27.5	52	161	NA	79.1	96.5	8.7	4.079
SM78	MTi92	30.9	86	176.5	70	78.6	107	11.1	6.523
SM78	MTd92	31.1	86	172	15	75.8	81.5	12.9	5.737
SM78	ID91	29.3	90	183	NA	76	114.3	12.6	8.378
SM78	OR91	27.5	85	193	NA	73.7	80	14.1	4.028
SM78	WA91	33	66	184	NA	76.1	120	11.2	5.965
SM78	MTi91	44	82	189	NA	74.9	107	11.4	5.625
SM78	MTd91	NA	NA	189	NA	NA	87	NA	3.414
SM78	NY92	NA	NA	183.5	0	NA	77.5	NA	5.737
SM78	ON92	NA	NA	198	0	NA	105	NA	3.08
SM78	WA92	26.8	52	164	NA	74.7	63.5	11.2	3.729
SM78	MA92	NA	NA	203.5	45	NA	93.5	NA	7.257
SM78	SKo92	NA	NA	196	70	NA	110	NA	8.4881
SM78	SKg92	NA	NA	194	NA	NA	51	NA	3.7755
SM78	SKk92	NA	NA	203	NA	NA	82	NA	5.4536
SM78	ID92	34.3	98	197	NA	72.7	83.8	14	4.797
SM79	MN92	30.5	77	146.5	NA	75.6	94	13.3	5.192
SM79	MTi92	40.1	100	169	40	78.8	103	14.2	5.421
SM79	MTd92	38.5	111	161	30	74.9	74.5	15.8	4.19
SM79	ID91	34.2	72	175.5	NA	75.8	105.4	12.9	6.714
SM79	OR91	35.1	84	187.5	NA	74	97.5	14.5	5.867
SM79	WA91	33.5	83	174	NA	75.2	123	13	5.681
SM79	MTi91	44.3	93	177	NA	74	103	13	5.713
SM79	MTd91	NA	NA	177	NA	NA	97	NA	2.71
SM79	NY92	NA	NA	170	40	NA	85	NA	5.759
SM79	ON92	NA	NA	200	0	NA	95	NA	3.61
SM79	WA92	35.3	69	153	NA	73.9	67.5	12.8	3.022
SM79	MA92	NA	NA	194.5	45	NA	92	NA	6.882
SM79	SKo92	NA	NA	185	60	NA	108	NA	8.3549
SM79	SKg92	NA	NA	185	NA	NA	56	NA	3.1907
SM79	SKk92	NA	NA	191	NA	NA	77	NA	4.6948
SM79	ID92	38	121	180	NA	74.5	71.1	14.3	4.471
SM80	MN92	33.1	90	149.5	NA	76.1	94.5	12.6	5.125
SM80	MTi92	34.5	113	172.5	60	75.9	108	12.6	5.823
SM80	MTd92	29.6	92	164.5	15	73.8	89.5	15	4.872
SM80	ID91	31.4	87	181	NA	73.5	114.3	14	7.19
SM80	OR91	23.8	74	189	NA	73.3	105	13.9	5.639
SM80	WA91	31.5	88	178	NA	74.7	136	12.6	5.777
SM80	MTi91	42.4	97	182	NA	73.8	108	12.1	5.502
SM80	MTd91	NA	NA	183	NA	NA	98	NA	3.008
SM80	NY92	NA	NA	176	40	NA	95	NA	5.461
SM80	ON92	NA	NA	198	50	NA	95	NA	3
SM80	WA92	26.7	65	156	NA	73.6	76	11	3.93
SM80	MA92	NA	NA	197	50	NA	92	NA	7.18
SM80	SKo92	NA	NA	183	70	NA	115	NA	7.1126
SM80	SKg92	NA	NA	187	NA	NA	69	NA	4.3399
SM80	SKk92	NA	NA	194	NA	NA	80	NA	5.0531
SM80	ID92	30.1	144	187	NA	72.5	94	14.6	5.48
SM81	MN92	37.8	78	163	NA	75.6	119	11.6	3.814
SM81	MTi92	36.2	94	176	90	76.9	123	13.1	4.173
SM81	MTd92	32.7	91	168	10	74.3	100.5	13.9	4.356
SM81	ID91	31.4	68	187	NA	74.7	134.6	13.5	4.359
SM81	OR91	27.9	72	193	NA	74.3	120	13.5	5.631
SM81	WA91	38.9	71	184	NA	75.4	143	12.6	5.136
SM81	MTi91	46.8	82	189	NA	74.1	123	11.7	4.759
SM81	MTd91	NA	NA	189	NA	NA	105	NA	1.844
SM81	NY92	NA	NA	182	0	NA	107.5	NA	5.372
SM81	ON92	NA	NA	197	20	NA	115	NA	2.54
SM81	WA92	29.8	49	161	NA	74.3	87.5	11.5	4.054
SM81	MA92	NA	NA	203	65	NA	110.5	NA	6.493
SM81	SKo92	NA	NA	184	80	NA	128	NA	6.6655
SM81	SKg92	NA	NA	192	NA	NA	76	NA	4.7117
SM81	SKk92	NA	NA	203	NA	NA	104	NA	5.0734
SM81	ID92	33.8	99	193	NA	73.3	99.1	13.4	4.482
SM82	MN92	42.8	122	148	NA	83	73	14.7	4.833
SM82	MTi92	40.6	112	170.5	55	78	101	12.8	5.64
SM82	MTd92	40.5	139	161.5	0	74.5	73.5	16.3	3.856
SM82	ID91	34.2	119	177	NA	74.3	111.8	14.6	7.031
SM82	OR91	27.1	81	191	NA	73.9	95	13.4	6.285
SM82	WA91	36.5	104	175.5	NA	76.3	118	12	6.623
SM82	MTi91	46	113	178	NA	74.6	101	13.1	5.43
SM82	MTd91	NA	NA	178	NA	NA	93	NA	3.408
SM82	NY92	NA	NA	169.5	10	NA	75	NA	5.341
SM82	ON92	NA	NA	202	0	NA	95	NA	4.69
SM82	WA92	31.7	95	153	NA	71.6	65	14.5	3.055
SM82	MA92	NA	NA	196	30	NA	79.5	NA	6.672
SM82	SKo92	NA	NA	183	20	NA	110	NA	6.3959
SM82	SKg92	NA	NA	185	NA	NA	44	NA	2.0381
SM82	SKk92	NA	NA	193	NA	NA	74	NA	4.154
SM82	ID92	39.5	186	182	NA	72.4	94	15.1	5.612
SM83	MN92	24.7	86	148.5	NA	75.5	87	12.2	6.077
SM83	MTi92	30.7	106	172.5	80	76.5	100	11.7	7.026
SM83	MTd92	30.4	108	165.5	25	76	81	14.5	5.259
SM83	ID91	22.5	89	178	NA	74.3	104.1	12.9	9.583
SM83	OR91	19.9	96	186	NA	73.2	90	12.7	6.508
SM83	WA91	24.6	82	177	NA	75.2	120	11.8	7.611
SM83	MTi91	39.7	127	179	NA	74.3	100	12.1	6.428
SM83	MTd91	NA	NA	182	NA	NA	95	NA	3.454
SM83	NY92	NA	NA	176.5	10	NA	70	NA	5.091
SM83	ON92	NA	NA	201	80	NA	95	NA	3.39
SM83	WA92	22.7	78	155	NA	71.6	69	12.6	4.926
SM83	MA92	NA	NA	191	40	NA	85.5	NA	7.92
SM83	SKo92	NA	NA	184	30	NA	111	NA	9.57
SM83	SKg92	NA	NA	185	NA	NA	56	NA	4.1963
SM83	SKk92	NA	NA	194	NA	NA	70	NA	5.1089
SM83	ID92	29.8	154	189	NA	72.6	86.4	13.6	6.139
SM84	MN92	28.3	82	163	NA	77.3	98.5	12.2	5.438
SM84	MTi92	32.8	109	177.5	20	77.2	106	11.7	6.714
SM84	MTd92	28.4	114	173.5	15	74.2	79	14.5	6.372
SM84	ID91	29.4	86	186	NA	74.8	111.8	13.4	7.357
SM84	OR91	27.2	86	196	NA	75.1	80	14.3	3.827
SM84	WA91	28.9	84	186	NA	75.5	118	13.7	6.526
SM84	MTi91	40.1	106	190	NA	74.3	106	12.8	6.957
SM84	MTd91	NA	NA	189	NA	NA	85	NA	3.722
SM84	NY92	NA	NA	183.5	0	NA	77.5	NA	5.92
SM84	ON92	NA	NA	196	0	NA	95	NA	3.26
SM84	WA92	26.1	67	163.5	NA	72.5	59.5	13.4	3.636
SM84	MA92	NA	NA	205	45	NA	95	NA	7.82
SM84	SKo92	NA	NA	194	20	NA	111	NA	7.6143
SM84	SKg92	NA	NA	196	NA	NA	43	NA	3.5372
SM84	SKk92	NA	NA	205	NA	NA	77	NA	5.0599
SM84	ID92	29.5	128	198	NA	72.5	78.7	14.9	4.908
SM85	MN92	27.6	85	147.5	NA	74.9	75.5	12.7	4.073
SM85	MTi92	33.3	98	171	55	79.6	98	11.6	6.517
SM85	MTd92	29.5	87	163.5	25	76.3	70.5	13.6	4.334
SM85	ID91	24	72	178.5	NA	73.2	111.8	12.2	6.409
SM85	OR91	26.1	103	189	NA	73.8	90	12.9	4.85
SM85	WA91	30.9	86	179	NA	72.8	121.5	12.3	4.048
SM85	MTi91	44.6	95	179	NA	74.5	98	10.9	6.242
SM85	MTd91	NA	NA	181	NA	NA	88	NA	2.948
SM85	NY92	NA	NA	174.5	30	NA	77.5	NA	6.183
SM85	ON92	NA	NA	200	80	NA	90	NA	2.99
SM85	WA92	25.8	61	154.5	NA	74	62	10.6	4.31
SM85	MA92	NA	NA	192	55	NA	79.5	NA	6.441
SM85	SKo92	NA	NA	183	80	NA	104	NA	5.942
SM85	SKg92	NA	NA	184	NA	NA	40	NA	3.2262
SM85	SKk92	NA	NA	192	NA	NA	69	NA	4.8334
SM85	ID92	30.2	117	187	NA	74.7	78.7	12.8	4.766
SM87	MN92	27.9	65	158.5	NA	76	103.5	12.4	4.701
SM87	MTi92	33.9	82	175	5	78.9	108	11.8	6.249
SM87	MTd92	31.1	87	169.5	45	75.6	90	13.9	5.18
SM87	ID91	28.7	75	183	NA	74.8	119.4	13.7	6.596
SM87	OR91	30.4	84	193	NA	74.9	100	13.4	5.258
SM87	WA91	30.1	74	182	NA	76.2	131	11.6	5.66
SM87	MTi91	40.9	81	186	NA	75.7	108	12.4	6.111
SM87	MTd91	NA	NA	184	NA	NA	92	NA	2.78
SM87	NY92	NA	NA	178	0	NA	95	NA	6.277
SM87	ON92	NA	NA	198	50	NA	110	NA	2.65
SM87	WA92	29.2	56	160	NA	74.2	77.5	12.2	3.477
SM87	MA92	NA	NA	199.5	40	NA	99.5	NA	6.76
SM87	SKo92	NA	NA	190	70	NA	113	NA	6.7543
SM87	SKg92	NA	NA	189	NA	NA	56	NA	3.9005
SM87	SKk92	NA	NA	199	NA	NA	80	NA	4.8047
SM87	ID92	32.5	106	191	NA	73.4	96.5	15.1	4.124
SM88	MN92	28	76	151.5	NA	75	80	11.5	5.179
SM88	MTi92	31.1	89	171.5	35	77.8	97	11.4	6.324
SM88	MTd92	23.8	75	166	20	74.5	64.5	12.3	5.143
SM88	ID91	32	86	181	NA	72.9	101.6	13	6.683
SM88	OR91	24.8	104	189	NA	72.1	75	13.4	3.376
SM88	WA91	26.3	83	178	NA	75.5	110	11.3	5.382
SM88	MTi91	31.7	97	183	NA	73.7	97	10.8	6.966
SM88	MTd91	NA	NA	183	NA	NA	83	NA	3.109
SM88	NY92	NA	NA	178	15	NA	70	NA	6.363
SM88	ON92	NA	NA	197	0	NA	85	NA	3.43
SM88	WA92	27.3	72	156	NA	74	53.5	11.2	3.725
SM88	MA92	NA	NA	194.5	50	NA	74	NA	6.245
SM88	SKo92	NA	NA	184	40	NA	110	NA	7.6416
SM88	SKg92	NA	NA	188	NA	NA	49	NA	4.149
SM88	SKk92	NA	NA	194	NA	NA	56	NA	4.7117
SM88	ID92	31.1	122	187	NA	73.6	68.6	12.9	4.992
SM89	MN92	27.1	52	159	NA	75.5	121	12.5	4.702
SM89	MTi92	29	71	175	55	76.8	123	12.6	5.018
SM89	MTd92	29.3	85	169.5	95	73.5	108.5	14.9	3.855
SM89	ID91	26.9	83	183	NA	74.7	129.5	14.4	6.25
SM89	OR91	23.9	61	191	NA	74	120	13.4	8.546
SM89	WA91	27.5	67	182	NA	74.2	143	13.1	6.27
SM89	MTi91	36.1	75	185	NA	75.1	123	12.3	6.356
SM89	MTd91	NA	NA	185	NA	NA	103	NA	2.468
SM89	NY92	NA	NA	182	0	NA	102.5	NA	5.812
SM89	ON92	NA	NA	201	50	NA	100	NA	3.5
SM89	WA92	24.9	52	160	NA	72.6	85	12.7	3.337
SM89	MA92	NA	NA	201	40	NA	114	NA	7.185
SM89	SKo92	NA	NA	190	60	NA	128	NA	7.1502
SM89	SKg92	NA	NA	193	NA	NA	92	NA	4.4734
SM89	SKk92	NA	NA	200	NA	NA	97	NA	5.4469
SM89	ID92	28.4	87	193	NA	74.2	104.1	13.9	4.889
SM91	MN92	26.9	68	159.5	NA	78.2	108	9.4	5.731
SM91	MTi92	33	102	176	10	78.4	112	12.3	6.832
SM91	MTd92	28.7	102	171.5	25	74.4	87	14.2	5.638
SM91	ID91	28.9	95	183	NA	76.5	114.3	12.9	9.191
SM91	OR91	24.5	83	193	NA	74.8	110	14.6	6.603
SM91	WA91	25.4	77	182	NA	75.7	123	12.2	7.582
SM91	MTi91	39.2	104	188	NA	76	112	12.1	5.686
SM91	MTd91	NA	NA	187	NA	NA	95	NA	3.387
SM91	NY92	NA	NA	182	0	NA	87.5	NA	5.685
SM91	ON92	NA	NA	202	0	NA	100	NA	3.3
SM91	WA92	26.2	79	160	NA	73.7	67.5	13	4.073
SM91	MA92	NA	NA	201	30	NA	102.5	NA	8.163
SM91	SKo92	NA	NA	190	20	NA	124	NA	9.744
SM91	SKg92	NA	NA	190	NA	NA	63	NA	4.5022
SM91	SKk92	NA	NA	198	NA	NA	85	NA	5.6987
SM91	ID92	32.4	126	191	NA	73.2	86.4	15.3	5.331
SM92	MN92	34.4	61	151.5	NA	78.1	88.5	9.8	4.415
SM92	MTi92	36.9	97	171	50	77.9	109	13.2	5.49
SM92	MTd92	31.6	100	164.5	55	75.9	91	14.5	3.061
SM92	ID91	28.2	78	180	NA	74.5	104.1	14.3	6.164
SM92	OR91	29.5	78	189	NA	75.9	105	12.8	6.205
SM92	WA91	32.6	77	180	NA	74.8	138	13.5	3.431
SM92	MTi91	42.6	95	182	NA	75	109	13	5.061
SM92	MTd91	NA	NA	183	NA	NA	97	NA	1.52
SM92	NY92	NA	NA	174.5	20	NA	90	NA	5.544
SM92	ON92	NA	NA	200	60	NA	100	NA	3.09
SM92	WA92	30.6	61	156.5	NA	74.9	72.5	12.3	3.246
SM92	MA92	NA	NA	196.5	40	NA	97	NA	6.908
SM92	SKo92	NA	NA	186	30	NA	116	NA	6.6212
SM92	SKg92	NA	NA	189	NA	NA	57	NA	3.0099
SM92	SKk92	NA	NA	196	NA	NA	84	NA	5.0717
SM92	ID92	31.5	106	187	NA	73.1	71.1	14.9	4.341
SM93	MN92	27.3	73	147	NA	74.9	89.5	11.3	5.277
SM93	MTi92	33.9	90	170.5	85	74.6	114	13.4	5.578
SM93	MTd92	NA	NA	162.5	35	NA	85	NA	4.692
SM93	ID91	23.4	78	178	NA	71.6	119.4	13.8	7.559
SM93	OR91	24.6	75	189	NA	71.9	100	13.4	6.562
SM93	WA91	29.7	76	177	NA	72.7	128	12.7	6.445
SM93	MTi91	31.5	98	178	NA	71.7	114	13.7	5.719
SM93	MTd91	NA	NA	178	NA	NA	101	NA	3.459
SM93	NY92	NA	NA	171	20	NA	85	NA	5.053
SM93	ON92	NA	NA	200	70	NA	95	NA	3.23
SM93	WA92	26.9	76	153	NA	71.5	70	12.7	3.878
SM93	MA92	NA	NA	190.5	35	NA	87.5	NA	6.594
SM93	SKo92	NA	NA	187	10	NA	114	NA	6.5324
SM93	SKg92	NA	NA	183	NA	NA	56	NA	4.1642
SM93	SKk92	NA	NA	192	NA	NA	70	NA	5.3151
SM93	ID92	27.5	108	180	NA	70.7	96.5	13	5.459
SM94	MN92	28.5	88	146	NA	75.9	94	12.4	5.29
SM94	MTi92	35.1	108	169	95	77.8	114	12.9	6.407
SM94	MTd92	31	110	160.5	50	75	82.5	14.5	5.628
SM94	ID91	28.9	85	176	NA	75	109.2	14.3	7.969
SM94	OR91	27.8	108	186	NA	73	90	14.1	4.204
SM94	WA91	33.5	96	173	NA	78.7	136	12.5	4.739
SM94	MTi91	38.3	110	179	NA	74.2	114	12.9	5.154
SM94	MTd91	NA	NA	177	NA	NA	99	NA	3.157
SM94	NY92	NA	NA	169	10	NA	87.5	NA	5.501
SM94	ON92	NA	NA	200	40	NA	100	NA	3.71
SM94	WA92	28.2	76	150.5	NA	74.5	71.5	12.1	3.768
SM94	MA92	NA	NA	189.5	35	NA	87	NA	6.659
SM94	SKo92	NA	NA	187	70	NA	102	NA	7.2253
SM94	SKg92	NA	NA	182	NA	NA	57	NA	3.9816
SM94	SKk92	NA	NA	191	NA	NA	78	NA	5.2677
SM94	ID92	32	130	180	NA	73.5	83.8	14.5	5.348
SM97	MN92	29.7	75	150	NA	76.2	82	9.8	4.96
SM97	MTi92	28.4	95	170.5	80	76.1	99	12.3	6.711
SM97	MTd92	23	86	164.5	20	74.3	81	13.8	6.413
SM97	ID91	29	81	180	NA	73.2	106.7	12.9	8.271
SM97	OR91	20.4	63	189	NA	73.8	92.5	12.7	5.897
SM97	WA91	29.4	70	180	NA	74.1	113	10.7	6.154
SM97	MTi91	28	88	182	NA	73.9	99	11.7	6.442
SM97	MTd91	NA	NA	184	NA	NA	87	NA	3.708
SM97	NY92	NA	NA	175	15	NA	80	NA	6.393
SM97	ON92	NA	NA	200	50	NA	90	NA	3.57
SM97	WA92	26.1	61	156	NA	73.5	59.5	10.8	4.295
SM97	MA92	NA	NA	196	40	NA	74	NA	7.022
SM97	SKo92	NA	NA	187	30	NA	99	NA	8.3993
SM97	SKg92	NA	NA	187	NA	NA	49	NA	3.5068
SM97	SKk92	NA	NA	194	NA	NA	64	NA	4.7895
SM97	ID92	29.4	120	187	NA	72.9	88.9	13.7	6.428
SM98	MN92	31.9	95	154	NA	75.9	98.5	14.9	4.136
SM98	MTi92	36.5	110	173	5	77.2	104	14.2	3.833
SM98	MTd92	34.6	128	166	65	74	81.5	16.7	2.976
SM98	ID91	35.1	98	180	NA	75.6	111.8	15.6	6.769
SM98	OR91	37.8	130	189	NA	74.6	95	14.6	4.081
SM98	WA91	31.4	87	178	NA	75.5	123	13	4.954
SM98	MTi91	38.9	107	184	NA	74.9	104	15.1	5.697
SM98	MTd91	NA	NA	183	NA	NA	90	NA	3.288
SM98	NY92	NA	NA	178	5	NA	75	NA	4.612
SM98	ON92	NA	NA	198	20	NA	95	NA	4.08
SM98	WA92	33.9	108	156	NA	72.7	57	15.8	2.872
SM98	MA92	NA	NA	198.5	35	NA	96.5	NA	5.711
SM98	SKo92	NA	NA	188	10	NA	113	NA	9.8532
SM98	SKg92	NA	NA	188	NA	NA	65	NA	3.1924
SM98	SKk92	NA	NA	198	NA	NA	80	NA	3.9174
SM98	ID92	31.9	121	188	NA	73.4	94	15.7	4.368
SM99	MN92	30.9	76	164	NA	74.2	99	13.3	2.441
SM99	MTi92	31.3	94	178	95	76.4	123	12.6	4.038
SM99	MTd92	29.8	108	173.5	20	73.6	97	13.8	5.783
SM99	ID91	26.1	88	186	NA	73.1	127	13.6	5.899
SM99	OR91	25.6	101	196	NA	73.5	105	13.7	4.659
SM99	WA91	41.4	75	189	NA	73.9	141	12.1	2.689
SM99	MTi91	31.1	103	189	NA	71.6	123	14.2	3.415
SM99	MTd91	NA	NA	189	NA	NA	96	NA	1.63
SM99	NY92	NA	NA	185	0	NA	100	NA	4.36
SM99	ON92	NA	NA	204	30	NA	100	NA	1.89
SM99	WA92	24	60	164	NA	72.4	83.5	12.3	3.807
SM99	MA92	NA	NA	205.5	75	NA	104	NA	4.902
SM99	SKo92	NA	NA	198	90	NA	119	NA	7.1433
SM99	SKg92	NA	NA	197	NA	NA	83	NA	4.5208
SM99	SKk92	NA	NA	205	NA	NA	90	NA	4.781
SM99	ID92	28.3	99	198	NA	73.5	83.8	13.9	4.022
SM103	MN92	31	94	149.5	NA	75.3	92.5	12	5.088
SM103	MTi92	32.1	104	172	100	77.6	108	12.5	4.592
SM103	MTd92	28.1	111	164	15	75.3	84	14.2	5.203
SM103	ID91	28.5	104	181	NA	74.2	116.8	13.8	7.709
SM103	OR91	25	125	189	NA	73.4	80	13	4.503
SM103	WA91	26.1	96	178	NA	74.1	123	11.8	5.728
SM103	MTi91	38	114	183	NA	74.4	108	13.3	5.799
SM103	MTd91	NA	NA	184	NA	NA	94	NA	3.371
SM103	NY92	NA	NA	175	45	NA	87.5	NA	5.899
SM103	ON92	NA	NA	199	60	NA	95	NA	2.86
SM103	WA92	30.5	92	156	NA	75	78.5	11.2	4.141
SM103	MA92	NA	NA	197	55	NA	88	NA	7.473
SM103	SKo92	NA	NA	189	80	NA	125	NA	6.9932
SM103	SKg92	NA	NA	186	NA	NA	65	NA	3.8228
SM103	SKk92	NA	NA	193	NA	NA	75	NA	4.9973
SM103	ID92	31.3	133	187	NA	73.8	78.7	13.6	4.908
SM104	MN92	32.5	72	156.5	NA	75.7	113	13	4.967
SM104	MTi92	34.3	94	175	60	77.9	112	12.9	5.784
SM104	MTd92	32.5	94	170	35	75.3	95.5	14.9	4.734
